ENCSENTS	DECSENTS
you're not breathing right ?	lately I'll just start getting lightheaded , dizzy , and I realize I haven't breathed in like two minutes .
I don't care for him .	he's your brother .
I'll take a ride .	go for it .
I'm getting married ...	I'm sorry ... I'm sorry ... I'm sorry ...
dear God ... I don't know how to pray .	just go ahead and say what's on your mind .
where did you get that ?	at the newsstand on 3rd .
do you hear buzzing Fish ?	buzzing ?
yeah . I got some kind of buzzing . like a zzzzzzzzzzzzzzzz thing just chipping away in the back of my skull .	I don't hear it .
yeah , well , it's a nasty problem .	have another drink .
"Dad used to bring home these sparklers to me and Adam . out back we'd light' em up . the three of us . we'd hold' em up to the sky and watch the explosions of light . sparks . and dad would be all ... "" Get ready "" ... "" watch for it "" ... "" here it comes , "" here comes the "" wahoo "" ."	the wahoo ?
the sparkler would burn hot , then hotter , then even hotter ... and there would be one moment of pure burn when that little fucker would cook just perfect . perfect . it would only last a second , but that second was it . it was it . that's what dad had us looking for ... You get me ?	the wahoo moment ?
that's my point ! you see Man ... burning at his absolute . to see all the forces just come together , just right , you know , just in perfect harmony . that's what I'm driving at . you get me ?	I think so .
I appreciate it . I do , but ... Maybe you ought to just ease up om yourself a bit .	no . no . no . this is my doing . you see I'm gonna have my wahoo spark for my own . for Lois and the kids , for my brother , for Franco . I'm gonna turn myself in . I am all that . I'm gonna do it for sweet Lois .
if I was to think ... If I were to think ... No I mean I have thinked it over ... I have . and without putting a lot of pressure on you I just ... Well I just ...	what is it ?
I wanted to just take this final opportunity to visit with you . you know , just to be with you , father and son , before you run off and do your own husband , daddy thing . I'm just so Goddamn proud of you ... God knows I didn't always play it right with you ...	you did all right dad .
you never walked away dad . you could have walked away .	"I'm just so scared of that song . that fucking , "" My son just arrived the other day ... he says thanks for the ball , come on let's play . I got lots of bills come again next day . he's grown up just like me ... My boy is just like me . "" Gordon fucking Lightfoot , Cat Stevens , whoever , that song just fucking kills me ."
"Harry chaplin . "" cats in the cradle . """	just kills me ...
I love you dad .	I love you so much it hurts . me and your mother marvel at what you have become . you're going to have a wonderful journey with this girl . I feel it deep inside . a wonderful , magical journey . and I'm , like I said , just so proud of how you turned out . you go out and knock' em dead Keith . knock'em dead !
everything okay ?	yeah , Dad . it's great .
well , I'm in the middle of my Goddamn toast here .	OK , OK . you guys just go back in . Dad , keep going with the toast , we'll be right in . go on .
this is ridiculous .	government cutbacks .
why can't we do it through the mail ?	we missed the deadline .
can't we do it on the phone ?	I don't think so .
why is this Kid staring at me ?	I'm not sure .
did you send in all of the deposit checks ?	I think so .
what do you mean , you think so ?	I sent a lot of checks , I'm not sure what all of them are .
the wedding cake check ?	sent it .
photographer ?	sent it .
florist ?	Yup .
caterer ?	yes .
hotel for my parents , the tent , the band , the Judge ...	I think I forgot the tent .
you forgot the tent ?	I think so .
why ?	why what ?
why did you forget the tent check ?	I didn't mean to Liz . I'm sorry .
you can't play around with these tent people .	I'm not playing around . I forgot .
what else have you forgot ?	how could I know what else I forgot ?
I'm working my ass off here . I've taken care of absolutely everything Keith .	because you wanted to . you wanted this to be your wedding not your parent's .
don't you dare .	what ?
don't you put this on me . don't do it , don't do it , don't do it , don't ...	stop it . I'm sorry .
you know how important this is to my mother . you know that .	I'm sorry . I'm sorry I forgot the tent . I don't think I forgot anything else .
I bet you didn't forget the bachelor party checks .	are we going to do this again ?
I'm just saying I bet those checks all found the mailboxes .	I wouldn't know .
it amazes me how organized you and your little fun bunch can be when it comes time to mobilize to Vegas .	they organized this , not me . I have nothing to do with it .
well it's bad timing .	how do you figure ?
right before the wedding ?	it's a bachelor party . you sort of have to do it before the wedding .
I suppose Boyd is the creative force behind all this .	he is .
he's a moron .	he's my friend . he's not a moron .
why do you feel the need to explore this side of your personality ?	what are you talking about ?
I'm talking about the kind of people you hang out with ... about growing up , assuming responsibility of yourself .	I asked you to marry me . I'm ready for marriage . that's responsibility . that's growth .
I just think that at some point you're going to have to re-evaluate some of your friendships ...	who else ?
Charles Moore for instants .	you don't like Moore ? since when ?
it's not that I don't like him . but the wedding has really got me thinking and ... I just keep myself opening up . Crowning . and I want you keeping up with me here .	what does Moore have to do with your growing ?
I just don't see him in the big picture .	I've known him since Cub Scouts .
he's weird .	he's quiet .
he's weird .	he just doesn't talk a lot .
why ? what's his problem ?	he's a great chef .
he's weird . and I expect more from you .	you expect more what ?
"you're going to be hungover for three days . like those guys on "" Oprah "" that get drunk and have disgusting sex with prostitutes and then say their vows with the stench of cheap hotel whore sex all over them ."	time out .
it's vile !	that's absurd .
I've seen it on television .	I'm not going to marry you with the smell of prostitutes on my body .
I am not common Keith . I am not common . I am a creature like no other and I will not be commoned ! is that to much to ask ? is that to much to ask ! ? !	you will not be common ! ! !
do you love me ?	of course .
how much ?	with all my heart .
problems ?	seating problems .
okay .	Keith do not trivialize this .
I'm not . what's the problem ?	we're supposed to have gold-trimmed padded seats , now they're telling me that there was a mistake and we can't have padded .
what kind of seats can we have ?	not padded ones .
so what do we do ?	you go down there .
go down where ?	go down to the seat place and straighten this out .
honey I don't have the time ...	I need your help .
we're leaving in three hours .	I need your help .
I'll call them from the road .	do you love me ?
more than I ever imagined being able to love anyone ever .	take care of those chairs .
we're leaving from Adam's . come send me off .	maybe .
will you please call the chair people ?	I will .
do you love me ?	of course .
just call and let me know that your okay .	I love you .
hello .	hi .
hi . are you calling from jail ?	not yet .
well , the night is young . did you straighten out the chair situation ?	I'm working on it , I've made three calls . I can't stop thinking about how much I love you .
well I do .	well you should .
what are you doing ?	just a bit of organizing .
nesting ?	yeah . nesting .
I'm mad at you .	go have fun . not too much .
hello .	hey . it's me .
where are you ?	we're on our way home . I just ... we're running a little late .
how late ?	no . just like an hour or so .
okay .	what okay ?
what !	the chairs .
I left a message . I think it's going to be okay .	you sound funny . did you do cocaine ?
what's the word on the chairs ?	I'm working on it .
""" Darli ... ing you , ewe ewe ewe , send me , Darli ... ing you , ewe ewe ewe , mend me ."	""" at first I thought it was infatuation ... But oh it's lasted so long ... """
after the wedding , which we're paying for ourselves , and this house ...	yeah baby . everything's great .
well , can you come back inside ?	yeah . sure .
now ?	yeah . look honey , I'll be right in . I just ... we're just taking care of some groomsmen last minute business .
everything's OK . just some more preparations .	are they fighting ?
cancel ? ! cancel ? ! are you out of your fucking mind ? !	nobody's saying cancel . I'm talking about modifying .
no way .	can we just talk this out ?
Lois is a mess and Micheal's really upset . everyone's upset .	we're not canceling .
I know .	I won't even discuss it .
I need you to pick up the cake tomorrow .	don't we already have someone to do that for us ?
yeah . you .	okay . okay .
that means we get five hundred thousand to help raise the kids .	no .
it's okay ... It's okay baby . cry for Mama . cry for Mama .	no it's not okay . it's not .
Liz we've got to cancel , we have to put it off .	don't even .
do you love me ?	what ?
do you love me ?	what kind of stupid question is that ?
oh God . we . Liz . we . we . killed a woman . we ...	what are you talking about ?
oh Liz . we . God . we , in Vegas . Micheal crushed her skull . she was dead . there was nothing else to do . it was an accident .	who's dead ?
the prostitute .	you fucked a prostitute ?
no Micheal did . it was an accident .	you killed a prostitute .
Micheal , by accident .	call the police .
it's too late .	my God . you've got to call the police , tell them it was an accident . where is she ?
she's in the desert . she's out in the desert .	you left a dead prostitute out in the desert ? alone ?
she's not alone ... She's ... Boyd ... Oh God ... He's gone nuts ... He killed Lois and Micheal ... it's all ...	stop ! you stop right here . I don't want to know anymore . I told you not to do this bachelor Party thing . you were warned .
but ...	no buts . I told you your friends were Jackasses .
but ...	no buts . I've waited twenty-seven years , twenty-seven years I have focused and prepared to walk down that aisle . I will not be derailed ! I will not be embarrassed ! I will not be denied ! I am walking down that aisle tomorrow come hell or high fucking water !
he kept saying he was protected .	what does that mean ?
like if something happened to him , he could still get us .	like how ?
the only proof is those bodies .	so what do we do ?
move the bodies .	move the bodies ?
I ... Liz ... all I ever wanted , was for you to be happy . I just wanted to give you the wedding , the life you always dreamed of ... ... I just love you so much ... So much ...	you and Moore move the bodies and bury Boyd with them . in fact , put Moore in the ground too .
if you don't tie up all the loose ends it'll never be over .	no ...
you put him down or don't bother coming back .	but ...
do you love me ? do YOU LOVE ME ? !	yea ... It's great ... seems like ... I don't know you've got all the important stuff in there .
all right then . it's refreshing to see two young people not afraid of real commitment . will you have friends or family saying words - singing or anything ?	are we supposed to ?
may we have the rings please ?	what ?
these rings represent the commitment Fisher and Liz make to each other on the day . Fisher do you take Liz to be your beloved wife , to respect , honor and cherish till death do you part ?	I do .
the hell I did !	the hell you didn't !
the hell I did !	you said one in two marriages end in divorce .
Nope .	Moore ?
you hate women .	false .
true .	not true .
you have a King fantasy .	I am a lover . in Africa , you can stay king as long as you can service your women every night .
and what happens when you can't ?	new king .
if I'm the king of Israel , I say to myself , King , I say to myself , King ... Take a good look around . what do I see ?	Israel doesn't have a King .
then what do they have ?	they have a president . a Benjamin Yahoo something .
I say to myself , look at the map . look what's all around you . people who wish bad bad things for you and your people . for thousands of years the Jews are fighting everybody . it used to be they'd throw rocks , then the iron revolution and they would attack with spears . then the gunpowder revolution . now they're shooting fire power back and forth , all day bullets flying , babies getting shot .	what's your point ?
the Israelis can protect themselves . they got the Mossad thing happening . Mossad's for real , man . they scalp babies .	there's my point exactly .
what ? what's your point ?	take Mexico .
what ?	lock up the chickens , dig up the holy dirt , pack up the wailing crying wall thing they bang their heads on all day long , stick it all on a big fucking tug boat . the whole country picks up and takes Mexico .
the Mexicans would love it . they're dying for a little order down there . they need direction .	they need leadership .
a little gut check time fellas . a time for some serious self-exploration . how do I function ? for real ? no more bullshit . can I keep my cool when they bounce my bananas ? when they won't play my fucking song ? etc , etc . do you get me ? do you get me ?	not really , no .
oh that's just nothing . that's just a missing persons thing , that's all .	you said nobody would miss her .
this is going to stop right now . right now !	you will not screw this up .
the need to know is clear . what did Adam tell Lois ? that's the name of the game . what did Adam tell Lois ? what does Lois know ?	ball park sausages .
you want some breakfast meat . Micheal . is that what you want ?	"Franco Harris has a flare for the dramatic . the former Pittsburgh Steeler running back , beat known for "" The Immaculate reception , "" his improbable sixty yard Ricochet reception . I say Ricochet reception has made a bold move on corporate America . Harris has lead a group of investors in the purchase of the Park sausage Company . by taking on the challenge of resurrecting Park's , Harris is engaged in the equivalent of a sudden death overtime ."
easy Micheal .	he must take an open-field run to profitability through excessive debt large competitors and dwindling market share . before the clock runs out .
we're goosed .	we're not goosed .
we're goosed ! Goosed by God !	Micheal get a grip . what did you tell her ?
stop it !	Goosed !
stop .	Goosed !
how about my Fatburger ?	come on tough guy . listen to me . you are going to tell Lois that it was all an accident . okay cowboy ? you got me ?
you said that Boyd .	well , I didn't mean it .
Tony ? this is Keith Fisher . you're doing my wedding and I'm calling about the chair situation . yeah , I'll hold .	who's up for making some real money ?
prison Communication Systems . an acquaintance friend of mine is professionally involved with a communications outfit in Denver that I just happen to know for a fact is about to be rewarded a very large , exclusive contract to rewire every state prison in Colorado . yes sir .	no , I'm holding for Tony . in chairs . Keith Fisher . okay .
that would translate to government guaranteed contract in excess of 35 million dollars .	we need padded chairs .
oh , Jesus ... call the police .	no .
she's dead . call somebody !	shut up .
call 911 .	shut up .
fuck ! fuck you fucking guys !	well we can definitely call the police . that's an easy call . if we call the police ... What happens ? they find a dead prostitute in the bathroom ... They ask us ... What happened ? we say , ah ... our friend , Micheal ... Your brother ... got a little out of control ... they were making love ... and he got a little excited ... and he , ah , sort of beat her head into the side of a toilet , while he choked her to death with a rubber hose ...
oh God . this is insane .	what's insane is the fact that Micheal here put a fucking girl's head through a toilet . that's insane .
all right people . new plan . not even a new plan so much as a modification of the old plan .	I'm calling the police .
that is a load of shit . personal power has nothing to do with any of this . Tony Robbins has helped me to unlock energy and see my options more clearly , yes , but to give him credit for this , for all of this ... Well that's just more than the man deserves .	I think we should say some words over the grave .
what kind of words ?	I'm talking about prayer .
no , this is the perfect time . this is real time . Adam . your brother and I , as well as several others present , have always suspected that you ... ... are a fully repressed , living in major denial , locked down , fly-boy butt-fucker .	"it goes ; "" Today is the first day of the rest of our lives . """
Fisher had a less than normal relationship with that donkey .	you always were a jealous man .
the problem was our quarterback had trouble remembering his right from left ...	no , the problem , as I recall , was the lack of blocking ...
OK . definitely not cool ! definitely inappropriate behavior here .	shut up Boyd .
negative . this is not what we have worked out in terms of presented behavior .	he's having a problem here .
easy Boyd .	no easy Boyd ! I got a best friend in there in pieces . how about a little sensitivity ?
he's cracked up .	he is not cracking up .
Boyd ... What have we done ?	what did you ask me ?
what is the question you asked me ?	I said , what have we done ?
yes , you did . now that is the question ! that is exactly the question we should be asking ourselves . you tell me Fisher . what have we done ?	I don't know ! I just want to get married .
say it again .	what ?
what you just said . say it again .	I just want to get married .
what's your point ?	you want to know what you are doing here ? ! you are love pumping . you are protecting all that is sacred and beautiful and in sync with poetry and sunsets and little newborn babies . you are walking the walk . this is it Fisher , the real stuff . you love this woman . love is second to nothing . I love you . I love Moore . I love Micheal . this car is full of love , and nothing - absolutely nothing - supersedes love , man . nothing . we will do what it takes . whatever it takes .
regarding what ?	does she sound pissed , scared , hostile ? did she mention the police ?
Jesus Boyd you're going to O.D. him .	suck my ass .
after you drop the kids off , take Micheal home . put a few drinks in him so he'll sleep .	I don't think that's such a good idea .
just do it .	what are you going to do ?
what does that mean ?	and what does that mean ? are you insane ? ! you think I would hurt Lois ? ! she's the mother of those kids ! what is wrong with you ?
I don't know ...	you got a nasty side to your thought process .
okay . here's the deal and it's a good one . Lois is cool . it's a pacified situation .	what does that mean ?
yeah .	good deal . Lois just wants to hear it from Micheal .
hear what ?	that it was all an accident . she wants to hear it from Micheal's mouth .
now ?	that's right .
isn't it a little late ?	hold on a sec . Lois , you sure you wouldn't rather do this in the morning ?
this is a situation that defies judgement . we have acted and showed courage that is not of a kind known by most .	I'm getting really tired of your bullshit .
my what ?	you've got a warped thought process . your brain doesn't function properly .
you care to add a little specification to that slanderous accusation ?	I'm talking about some bad , bad , very bad things . bad things ! those are bad fucking things !
okay fine .	fine ? fine what ?
whatever you say Kojak .	I'm serious .
blood money . insurance dollars that you have thus fucking far decided not to tell me about at all . in no way have you mentioned that money . and I find that to be very very offensive .	you're sick .
and if you think you can fuck me , don't . cause I'm fucking insulated Fisher . protected . backed up on floppy . do you get me ? I want my fucking money !	not a prayer .
I'm a lifesaver . a lighthouse . up all night in the rain , in stormy gale force wind , tornado and fucking earthquakes . I stay lit for you . I stay lit . I don't go dark . I never go dark !	you need help .
no I don't .	fish ?
your investment ideas never work out .	that's the whole point . they rarely work out . but on occasion they do . and when they do , they do big .
I don't think so Boyd .	fine . don't come crying to Boyd . no sir .
but not tonight .	not tonight .
Keith Richards , Dean Martin ...	Jack Kerouback , Herman Melville , Henry Miller and Hunter S. Thompson . I dedicate this evening to fear and to major loathing . so from sun set to sun rise , let me be heard ...
he's right .	we can take her out to Red Rock . find some quiet place ... and put her in the ground .
I got her arm .	here's his head .
the past is the past . today is the beginning of the rest of our lives .	today is the best day of the rest of our lives .
what's goosed ?	what is her disposition ?
he just had two .	give me two more .
he's too drunk .	he's fine . okay Mikey , let's go . you guys stay here .
what is it ?	ah , yeah , hi . is Tina there ?
what ?	I'm with Tina . is she there ?
she's not here .	where is she ?
who ?	the groom ?
Yup .	doing the bachelor party thing ?
that's right .	sin City . devil's playground . the Black Bitch . all day every day . where's Tina ?
she's in the bathroom ... she's still working .	she's still working ?
that's right .	sweet deal .
is everything okay ?	great . fine . perfect .
she's in there !	I'm just gonna let her know I'm here .
don't sweet lip me .	I don't understand where this personal attack is coming from ...
you're a liar . I want to know what happened in Vegas .	nothing happened in Vegas .
Micheal ? do you have something to tell me ?	Micheal . tell Lois that nothing ...
he's upset about Adam . we're all upset .	I will call the police right now if I don't start getting some answers .
my god .	there's more .
yes money . Adam had a five hundred dollar term Life Insurance Policy .	what does that mean ?
actually , no . Adam was switching to a Whole Life Policy , but re-scheduled his medical exam ... and failed to make his last payment ... so his term Life lapsed . so it's value is Null and void . now he did have a pension account , worth another 150 thousand .	well , oh ...
and a house . valued at 350 thousand .	so where's that leave us ?
so . when is the wedding .	tomorrow . we are getting married tomorrow .
we'll be ready Adam .	I know you'll be . three hours .
that's one idea .	no ... we want padded chairs ... okay ?
real times .	they've all been real times . and as you prepare to enter into a new phase of life , as you prepare for new roles ; father , husband , teacher , you will , as I have , come to except the letting go of of old ways . soon , the mellowing will begin ...
no . no . no . it's what my father said to me . he said it and he meant it ... He said to me ... He said , Adam , he said ... He told me and I heard him ... he said ... Hell he said so many Goddamn things I can't remember everything he said for Christsake .	right ! that's exactly what I'm saying . my father said , first of all , I'm your father not your friend . I'm your father .
are you solid with that ?	no . I think it's fucked .
the bucks gonna stop right here . if my son doesn't know the six New England states , if he has trouble with geography , I won't stick it in his face . I'll help the little guy . I'll put him in the car and take him out there . I'll take him to Maine for a big Lobster dinner , go skiing in Vermont , hot dogs at Yankee Stadium ... I won't stare him down .	don't ever stare him down .
I won't do it .	don't eyeball your kids .
I tell mine that they're little men . I tell them they're strong . they make me feel joy . I let' em know . so they really know that I need them just as much . you know . just as much man . and you know , you're their godfather ...	I know and I'm honored ...
if anything ever happens to me ...	I know ...
either side you idiot . I'm calling 911 .	what happened ? oh my God ...
no way .	it has to be done .
I want you to hear me out .	what .
you and I have done nothing . you especially . we are innocent .	I don't think so .
Jesus Adam , can we not get into this now please ?	I got a migraine like a little monkey kicking in the side of my skull , Mike Tyson with a fucking sledge hammer trying to crack ...
I got you .	where's the bathroom ?
don't snap at them !	they're driving me nuts !
what ?	they're screaming for Starbursts .
later .	they're screaming like monsters and it's giving me a headache . go get some fucking Starbursts .
where's the candy ?	there is no candy !
what do you mean ? it's it's a Goddamn mini-mart ? !	four hours and fifteen minutes . I can make Vegas in 3 and change .
don't even start .	you want to hear me out ?
one idea that if you had fucking listened to , you would each be worth approximately 15 million dollars .	you can't keep bringing up Starbucks . that was your only real hit in like 75 tries .
more .	over eight years of some of the hardest raging experiences of my life .
she's got no fucking pulse .	you don't know what you're doing .
wait !	what ?
what are you doing ?	what are you talking about ?
I'm calling the ambulance .	just wait a second . wait one second . okay . what are you doing ?
calling the ambulance .	why ? why ? she's dead . why are you calling an ambulance ?
we have to call the ambulance .	why ?
stop it ! listen to me . let's just take a second here and take hold of the situation , OK ? let's just review our options here .	we have a dead woman bleeding all over the bathroom . what options ? call the police .
call the police . okay , that's one option .	"that is not an "" option . "" there is no multiple choice here ."
stop it !	there's more .
just stop .	just giving the facts .
I'm calling the police .	what were we doing officer ? why didn't we help her ? well ... we're all a bit high , you know , bachelor party , that kind of thing . Fisher here is getting married in three days ... Beautiful wife ... he didn't have anything at all to do with it ... It was all Micheal here ... just Micheal ...
bury her out in the desert .	sure , why not .
you don't just casually walk out of a Vegas Casino with a dead woman .	we can do this . we can get her out of here .
have you completely lost your mind ? so you get her out of here . so you get her out into the desert somehow , without anybody seeing , so what , you don't think at some point somebody might notice that she's gone ?	nobody knows she's here . I called her personally . nobody knows .
her blood is all over the bathroom . I'd say that's a bit of a DNA problem .	it's a marble floor , we can clean it up .
her fucking head was caved in .	so I didn't fucking do it !
wrap her up in blankets . bring the car around to the back of the hotel , throw her off the balcony , put her in the car ... Done .	you don't think someone will have a problem with a body being thrown off a balcony ?
we check out the area and wait for a time when it's clear .	what about the blood ?
someone goes to WalMart , gets some buckets , brushes , mops , spic and span , the works .	have you ever done this before ?
sun rises at 5 : 52 .	I'm not wrecking the transmission !
wait . wait a minute .	what ?
we can't do this .	we've already done this .
how do you figure ?	according to Jewish law , the blood and limbs are considered to be part of the human being . they must be buried together or their souls won't rest in peace .
so that's what we're doing .	no we're not . the bodies are all mixed up . we can't do this to them .
she's Asian . they don't have Jews in Asia .	that is absolutely not true .
well what the fuck are we supposed to do ?	open the suitcases , unpack the body parts and reunite the limbs .
we have to get going .	I am not flexible on this .
now I am the last to say that we have done here is a good thing . it's not . it's not a good thing . but it was , given the circumstances , the smart play . we did what had to be done . and ... well ... I'm proud of us . I'm proud of each and every one of us . we performed . under the most complex and nerve shattering of situations , we stood fast and we delivered . I feel proud .	we are all going straight to hell . either hell or prison , whichever comes first .
Boyd you idiot , the shit's coming down !	what does that mean ?
you got us into this mess .	oh I did ? I think it was your little rat fuck brother who decided to play Hamburger helper with the hooker's head .
would you , shush ? ! these phones aren't secure !	lighten up Adam . show some character .
watch the tone fella .	fuck you Boyd !
what is your problem ?	I can't do this .
what ?	at the seven-eleven .
who ? what are you talking about ?	they're on me . they're smoking me out !
you got some mighty fucking fine bad timing Adam . we got a rehearsal situation here .	I don't give a damn .
I didn't do anything ! I'll turn your pathetic ass in !	Adam ! calm down .
I won't calm down . I can't do this . we can't do this . it won't work . it will not work .	it has worked .
I'm talking about DNA samples , fiber optics , search parties , they got infrared scanners , FBI scientists . they figure this shit out . they always figure it out .	they won't figure it out .
all right . let's all go back in . Adam ? you're cool right ?	no . I'm not Boyd . I am not cool at all .
we're leaving from my house in three hours . if you want to come , get your numbers in order by then .	first of all ...
no first of all . I'm not in a game mood .	you're interrupting a personal conversation .
because my opinion threatens yours , it's poorly developed ?	no , because your opinions are idiotic and have nothing to do with what any given conversation is about , which makes 85 % of your eagerly injected thought process highly offensive to me .
you're an asshole Adam .	you're an asshole .
oh , and why am I an asshole ?	multiple reasons .
name one .	I don't have to ...
tonight we return once again to the cave . tonight we let the monsters out . we fill ourselves with the spirits of Genghis Khan , Joe Namath , JFK , Paton , Lombardi , Hemingway ...	Franco mother-fucking Harris !
I was just playing ... we were playing just playing around .	she's dead .
we were playing ... she slipped ... she hit her head .	playing ?
the floor was wet . she slipped !	why was the floor wet ?
I don't know why the floor was wet !	why ? !
why ?	it's sacrilegious .
this is pathetic .	you're pathetic .
what did you say ?	you're not a team player .
don't point at me .	you never were a team player . that's why you never had any friends .
I have plenty of friends .	the hell you do .
the hell I don't .	you have acquaintances - business friends and superficial golf buddies . you have always been a fringe player . you have some serious male on male intimacy problems .
about anybody but yourself . you never have .	and you're a little fucking reject .
if you ever touch my minivan again , I'll make you sorry . real sorry .	you're a loser .
you got a retarded kid and a fat pig wife .	you fucking bastard !
don't you threaten me you little rat fuck .	don't you fucking threaten me - I'll fucking kill you .
go home !	you go home !
how ya doing ?	what ?
what's that ?	what did you say ?
I said how's it going ?	I didn't hear you .
well that's what I said .	the stripper's here .
she's fucking hot !	I need a drink .
Jesus .	don't touch her . call 911 .
they'll get us on accesory to murder .	bullshit it's not accesory . I didn't do shit . you call the cops , you explain it was an accident ...
I'm not going to ruin my life over a dead whore .	"that's a horrible ugly comment . "" dead whore ? "" she's a person !"
can't do what ?	we're gonna get caught . I know we're gonna get caught . they were eyeballing my car .
but you said grey , sir .	not tweed -- it's a smoother material , with a larger collar and belted .
she'll be out in a moment .	now , Judy , it isn't anything to get --
yes ! that's it !	I thought so !
oh , yes ! it may need some slight alterations , but it is madam's size . all right , dear . we'll have it for you to try in a moment .	how soon can it be altered ?
well ...	can we have it by tonight ?
well , if it's absolutely necessary ...	yes , it is . now , I want to look at an evening dress , a dinner dress , black -- short -- long sleeves -- with a neck cut this ... ... and the skirt out .
yes ... the Beautiful Carlotta ... the Sad Carlotta ...	what does a big old wooden house on the corner of Eddy and Gough Street have to do with her ?
it was hers . it was built for her . many years ago .	by whom ?
she died .	how ?
by her own hand . there are many such stories .	thank you , Mr. Leibel . thank you very much .
OW ! !	I thought you said no more aches and pains ?
it's this darned corset . it binds . he retrieves the stick .	no three-way stretch ? how very un- chic .
well , you know those police department doctors : no sense of style . ah , tomorrow !	what's tomorrow ?
more than you think .	how do you know ? personal experience ?
please ! and what happens after tomorrow ?	what do you mean ?
what are you going to do ? now that you've quit the police force ?	you sound so disapproving , Midge .
no , it's your life . but you were the bright young lawyer who decided he was going to be chief of police some day .	I had to quit , Midge .
why ?	I wake up at night seeing him fall from the roof ... and try to reach out for him .
it wasn't your fault .	I know . everybody tells me .
Johnny , the doctors explained --	I know . I have Acrophobia . what a disease . a fear of heights . and what a moment to find out I had it .
well , you've got it . and there's no losing it . and there's no one to blame . so why quit ?	and sit behind a desk ? Chairborne ?
it's where you belong .	not with my Acrophobia , Midge . if I dropped a pencil on the floor and bent down to pick it up , it could be disastrous !
nothing for a while . you forget , I'm a man of independent means . or fairly independent .	mmm . why don't you go away for a while ?
to forget ? don't be so motherly , Midge . I'm not going to crack up .	have you had any dizzy spells this week ?
it's a brassiere . you know about those things . you're a big boy , now .	I've never run across one like that .
it's brand new . revolutionary uplift . no shoulder straps , no back straps , but does everything a brassiere should do . it works on the principle of the cantilever bridge .	Uh-huh !
an aircraft engineer down the peninsula designed it . he worked it out in his spare time .	what a pleasant hobby .
how's your love life , Midge ?	that's following a train of thought .
well ?	normal .
aren't you ever going to get married ?	you know there's only one man in the world for me , Johnny-O .
yeah , I'm a brute . we were engaged once though , weren't we ?	three whole weeks .
ah , sweet college days . but you're the one who blew it . I'm still available . available Ferguson . say , Midge , do you remember a guy at college named Gavin Elster ?	Gavin ? Gavin Elster ? you'd think I'd would . no .
I got a call from him today . funny . he dropped out of sight during the war , and I'd heard he'd gone East . I guess he's back . it's a Mission number .	that's Skid Row ... isn't it ?
could be .	he's probably on the bum and wants to touch you for the price of a drink .
well , I'm on the bum ; I'll buy him a couple of drinks and tell him my troubles . but not tonight . if you won't drink with me , I'll drink alone , tonight .	sorry , old man . work .
Midge , what did you mean , there's no losing it ?	what .
my ... the acrophobia .	I asked my doctor . he said only another emotional shock could do it , and probably wouldn't . and you're not going to go diving off another rooftop to find out .
I think I can lick it .	how ?
that ! ? !	what do you want me to start with -- the Golden Gate Bridge ?
now . I look up , I look down . I look up , I look down . nothing to it .	stop kidding . wait a minute .
step number two .	okay .
easy , now .	this is a cinch . I look up , I look down . I look up --
Johnny !	oh , damn it ! damn it , damn it --
"now , that's the kind of greeting a girl likes . none of this "" hello you look wonderful "" stuff . just a good straight "" who do you know "" --"	well , who ? come on , you know everybody .
not that kind of history . the small stuff ! about people you never heard of !	oh ! you mean Gay Old Bohemian Days of Gay Old San Francisco ! the juicy stories ? like who shot who in the Embarcadero August , 1879 ?
yeah .	pop Leibel .
who ?	pop Leibel owns the Argosy Book Shop . what do you want to know ?
who shot who in the Embarcadero in August , 1879 .	wait a minute ! you're not a detective any more . what's going on ?
do you know him well ?	pop Leibel ? sure .
now then , Johnny-O ; pay me .	for what ?
for bringing you here . come on , tell !	nothing to tell .
you'll tell , or you'll be back in that corset ! come on !	I'll take you home .
here you are .	you haven't told me everything .
I've told you enough .	who's the guy , who's the wife ?
out . I've got things to do .	I know . the one who phoned . your old college chum , Elster .
and the idea is that the Beautiful Mad Carlotta has come back from the dead , to take possession of Elster's wife ? ah , Johnny ! come on !	I'm not telling you what I think ! I'm telling you what he thinks !
Carlotta ?	no , not Carlotta . Elster's wife .
Midge !	bye-bye !
I did . since when do you go about slipping notes under men's doors ?	since I stopped being able to get them on the phone . for a man who has nothing to do , you're certainly a busy little bee . where do you go , these days ?
just wander .	where ?
around .	oh ?
Mm . better .	did you need it ?
yeah .	oh ?
what was this desperate urge to see me ?	"all I said in the note was : "" where are you ? "" that doesn't sound desperate to me ."
well , I detected an undercurrent .	I just thought if I gave you a drink and fed you some dinner , you'd be so grateful you'd take me to a movie .
fair enough . what'll we talk about at dinner ?	oh ... this and that .
what I've been doing ?	if you want to . naturally , we won't talk about anything you don't want to talk about .
naturally .	what have you been doing ?
oh , I'm having a wonderful time ! I've gone back to my first love ... painting .	good . I've always said you were wasting your time in the underwear department .
well , it's a living . but I'm excited about this .	what is it , a still life ?
is there something I can do for you ?	yes ... you run this hotel .
oh , yes !	would you tell me , who has the room on the second floor in the corner , that corner ?
please answer my question .	I can't imagine that sweet girl with that dear face --
what is her name ?	Valdes . Miss Valdes . it's Spanish , you know .
Carlotta Valdes ?	yes , that's it . sweet name , isn't it ? foreign . but sweet .
